#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ACZ35780.1_unknown_[Sulfolobus_spindle-shaped_virus_7_complete_genome.]            -          baPOG_3143           -               0.24    9.9   3.8       1.6    7.2   0.1   2.4   2   0   0   2   2   2   0 -
YP_003331512.1_hypothetical_protein_SSSV7_gp29_[Sulfolobus_spindle-shaped_virus_7] -          baPOG_3143           -               0.24    9.9   3.8       1.6    7.2   0.1   2.4   2   0   0   2   2   2   0 -
CAH69429.1_hypothetical_protein_[Acidianus_filamentous_virus_2_partial_genome] -          baPOG_17699          -               0.66    8.9   5.8      0.63    9.0   0.1   3.1   3   0   0   3   3   3   0 -
YP_001496967.1_hypothetical_protein_AFV2_gp42_[Acidianus_filamentous_virus_2]  -          baPOG_17699          -               0.66    8.9   5.8      0.63    9.0   0.1   3.1   3   0   0   3   3   3   0 -
AIA83254.1_phage_fiber_protein_[Podovirus_Lau218_strain_TahiMoana_complete_genome.] -          baPOG_668            -            8.2e-11   40.0   9.9   1.3e-07   29.5   4.7   2.5   1   1   1   2   2   2   2 -
CAL92476.1_hypothetical_protein_[Archaeal_BJ1_virus_complete_genome]                -          baPOG_668            -            0.00061   17.3   0.1   0.00069   17.1   0.1   1.0   1   0   0   1   1   1   1 -
YP_919081.1_hypothetical_protein_BJ1_gp54_[Archaeal_BJ1_virus]                      -          baPOG_668            -            0.00061   17.3   0.1   0.00069   17.1   0.1   1.0   1   0   0   1   1   1   1 -
AAM88708.1_unknown_[Virus_PhiCh1_complete_genome.]                                  -          baPOG_668            -               0.13    9.5  46.0      0.13    9.6  44.9   1.4   1   1   0   1   1   1   0 -
NP_665952.1_hypothetical_protein_PhiCh1p35_[Natrialba_phage_PhiCh1]                 -          baPOG_668            -               0.13    9.5  46.0      0.13    9.6  44.9   1.4   1   1   0   1   1   1   0 -
YP_008059419.1_hypothetical_protein_HGTV1_244_[Halovirus_HGTV-1]                          -          baPOG_2711           -             0.0054   15.4   1.6     0.062   12.0   0.1   2.2   2   0   0   2   2   2   1 -
ACZ35755.1_putative_membrane_protein_[Sulfolobus_spindle-shaped_virus_7_complete_genome.] -          baPOG_2711           -              0.024   13.3   0.2     0.046   12.4   0.2   1.4   1   0   0   1   1   1   0 -
YP_003331487.1_hypothetical_protein_SSSV7_gp04_[Sulfolobus_spindle-shaped_virus_7]        -          baPOG_2711           -              0.024   13.3   0.2     0.046   12.4   0.2   1.4   1   0   0   1   1   1   0 -
YP_008059063.1_hypothetical_protein_HCTV5_21_[Halovirus_HCTV-5] -          baPOG_14005          -              0.035   13.2   0.0     0.043   12.9   0.0   1.2   1   0   0   1   1   1   0 -
AGC34480.1_HNH_domain_endonuclease_[Halovirus_HVTV-1_complete_genome.] -          baPOG_9578           -            0.00035   19.2   0.0   0.00068   18.2   0.0   1.4   1   0   0   1   1   1   1 -
YP_007379016.1_HNH_domain_endonuclease_[Halovirus_HVTV-1]              -          baPOG_9578           -            0.00035   19.2   0.0   0.00068   18.2   0.0   1.4   1   0   0   1   1   1   1 -
YP_008059147.1_HNH_protein_[Halovirus_HCTV-5]                          -          baPOG_9578           -             0.0038   15.8   0.1    0.0082   14.7   0.1   1.5   1   1   0   1   1   1   1 -
YP_008059631.1_HNH_protein_[Halovirus_HCTV-1]                          -          baPOG_9578           -              0.009   14.6   0.0     0.015   13.9   0.0   1.3   1   0   0   1   1   1   1 -
YP_008059145.1_HNH_protein_[Halovirus_HCTV-5]                          -          baPOG_9578           -              0.014   14.0   0.0     0.021   13.4   0.0   1.2   1   0   0   1   1   1   0 -
CCG27842.1_hypothetical_putative_RHH_DNA-binding_protein_[Aeropyrum_coil-shaped_virus_complete_genome] -          baPOG_9583           -              0.069   10.9   0.1      0.13   10.0   0.0   1.5   2   0   0   2   2   2   0 -
ACZ35799.1_unknown_[Acidianus_spindle-shaped_virus_1_complete_genome.]                         -          baPOG_1329           -             0.0027   15.1   2.8       0.4    7.9   0.1   2.3   2   0   0   2   2   2   2 -
YP_003331419.1_hypothetical_protein_[Acidianus_spindle-shaped_virus_1]                         -          baPOG_1329           -             0.0027   15.1   2.8       0.4    7.9   0.1   2.3   2   0   0   2   2   2   2 -
YP_008059300.1_hypothetical_protein_HGTV1_124_[Halovirus_HGTV-1]                               -          baPOG_1329           -              0.031   11.6   0.0     0.055   10.8   0.0   1.3   1   0   0   1   1   1   0 -
YP_008060030.1_hypothetical_protein_HRTV7_46_[Halovirus_HRTV-7]                                -          baPOG_1329           -              0.034   11.5   0.0     0.045   11.1   0.0   1.1   1   0   0   1   1   1   0 -
AGC34317.1_adenylate_kinase_[Halovirus_HSTV-2_complete_genome.]                                -          baPOG_1329           -              0.054   10.8   0.0     0.077   10.3   0.0   1.1   1   0   0   1   1   1   0 -
YP_007379127.1_adenylate_kinase_[Halovirus_HSTV-2]                                             -          baPOG_1329           -              0.054   10.8   0.0     0.077   10.3   0.0   1.1   1   0   0   1   1   1   0 -
CCD22131.1_hypothetical_protein_[TPA:_Aeropyrum_pernix_spindle-shaped_virus_1_complete_genome] -          baPOG_1329           -              0.074   10.3   0.0      0.12    9.6   0.0   1.2   1   0   0   1   1   1   0 -
