#                                                                                                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                                          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                                  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AFU92006.1_hypothetical_protein_[Sulfolobus_virus_STSV2_complete_genome.]                              -          arVOG_531            -            9.9e-56  185.1   5.0   1.1e-55  185.0   5.0   1.0   1   0   0   1   1   1   1 -
YP_007348271.1_hypothetical_protein_STSV2_27_[Sulfolobus_virus_STSV2]                                  -          arVOG_531            -            9.9e-56  185.1   5.0   1.1e-55  185.0   5.0   1.0   1   0   0   1   1   1   1 -
CAH04213.1_hypothetical_protein_[Sulfolobus_tengchongensis_spindle-shaped_virus_STSV1_complete_genome] -          arVOG_531            -            5.4e-55  182.7   1.9     6e-55  182.6   1.9   1.0   1   0   0   1   1   1   1 -
YP_077223.1_hypothetical_protein_STSV1pORF30_[Sulfolobus_virus_STSV1]                                  -          arVOG_531            -            5.4e-55  182.7   1.9     6e-55  182.6   1.9   1.0   1   0   0   1   1   1   1 -
YP_009230292.1_hypothetical_protein_ATSV_D131_[Acidianus_tailed_spindle_virus]                         -          arVOG_531            -            1.4e-37  126.8   2.6   1.6e-37  126.6   2.6   1.0   1   0   0   1   1   1   1 -
YP_008058479.1_hypothetical_protein_HRTV5_32_[Halovirus_HRTV-5]         -          arVOG_266            -           2.8e-266  882.2  13.0  3.2e-266  882.1  13.0   1.0   1   0   0   1   1   1   1 -
AAO61371.1_hypothetical_protein_[Halovirus_HF1_complete_genome.]        -          arVOG_266            -           1.5e-264  876.5  10.9  1.7e-264  876.4  10.9   1.0   1   0   0   1   1   1   1 -
NP_861660.1_hypothetical_protein_HalHV1gp072_[Halovirus_HF1]            -          arVOG_266            -           1.5e-264  876.5  10.9  1.7e-264  876.4  10.9   1.0   1   0   0   1   1   1   1 -
YP_008058597.1_hypothetical_protein_HRTV8_32_[Halovirus_HRTV-8]         -          arVOG_266            -           1.7e-263  873.0  13.0    2e-263  872.9  13.0   1.0   1   0   0   1   1   1   1 -
AAL54996.1_hypothetical_protein_[Halorubrum_phage_HF2_complete_genome.] -          arVOG_266            -           1.4e-244  810.8  15.7  1.5e-244  810.6  15.7   1.0   1   0   0   1   1   1   1 -
NP_542576.1_hypothetical_protein_HF2p082_[Halorubrum_phage_HF2]         -          arVOG_266            -           1.4e-244  810.8  15.7  1.5e-244  810.6  15.7   1.0   1   0   0   1   1   1   1 -
AGC34303.1_hypothetical_protein_[Halovirus_HSTV-2_complete_genome.]     -          arVOG_266            -           5.6e-243  805.4   7.7  6.3e-243  805.3   7.7   1.0   1   0   0   1   1   1   1 -
YP_007379113.1_hypothetical_protein_HSTV2_34_[Halovirus_HSTV-2]         -          arVOG_266            -           5.6e-243  805.4   7.7  6.3e-243  805.3   7.7   1.0   1   0   0   1   1   1   1 -
YP_008060016.1_hypothetical_protein_HRTV7_32_[Halovirus_HRTV-7]         -          arVOG_266            -           7.3e-237  785.3  10.4  8.2e-237  785.1  10.4   1.0   1   0   0   1   1   1   1 -
