#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
YP_009216739.1_hypothetical_protein_[Sulfolobales_Virus_YNP2]                                          -          euVOG_356            -              0.017   13.7   0.5     0.017   13.7   0.5   1.0   1   0   0   1   1   1   0 -
CAC93986.1_hypothetical_protein_[Sulfolobus_virus_SIRV-1_complete_viral_genome]       -          euVOG_5084           -             0.0026   16.2   4.0    0.0026   16.2   4.0   1.9   2   0   0   2   2   2   1 -
NP_666619.1_hypothetical_protein_SIRV1gp31_[Sulfolobus_islandicus_rod-shaped_virus_1] -          euVOG_5084           -             0.0026   16.2   4.0    0.0026   16.2   4.0   1.9   2   0   0   2   2   2   1 -
CAC87314.1_hypothetical_protein_[Sulfolobus_virus_SIRV-2_genomic_DNA]                 -          euVOG_5084           -             0.0035   15.8   4.6    0.0035   15.8   4.6   2.0   2   0   0   2   2   2   1 -
NP_666573.1_hypothetical_protein_SIRV2gp39_[Sulfolobus_islandicus_rod-shaped_virus_2] -          euVOG_5084           -             0.0035   15.8   4.6    0.0035   15.8   4.6   2.0   2   0   0   2   2   2   1 -
YP_009272982.1_structural_protein_[Sulfolobus_islandicus_rudivirus_3]                 -          euVOG_5084           -              0.015   13.7   0.5     0.015   13.7   0.5   2.3   2   0   0   2   2   2   0 -
CAJ31691.1_conserved_hypothetical_protein_[Acidianus_filamentous_virus_8_partial_viral_genome] -          euVOG_2887           -              0.025   12.1   0.0     0.032   11.8   0.0   1.1   1   0   0   1   1   1   0 -
YP_001604295.1_hypothetical_protein_AFV8_gp14_[Acidianus_filamentous_virus_8]                  -          euVOG_2887           -              0.025   12.1   0.0     0.032   11.8   0.0   1.1   1   0   0   1   1   1   0 -
AAU25977.1_hypothetical_protein_[Thermoproteus_tenax_spherical_virus_1_complete_genome.]       -          euVOG_2887           -              0.058   10.9   0.0      0.08   10.5   0.0   1.3   1   0   0   1   1   1   0 -
YP_164368.1_hypothetical_protein_TTSV1_gp27_[Thermoproteus_tenax_spherical_virus_1]            -          euVOG_2887           -              0.058   10.9   0.0      0.08   10.5   0.0   1.3   1   0   0   1   1   1   0 -
YP_009008691.1_gp5_[Haloarcula_hispanica_pleomorphic_virus_2]       -          euVOG_6595           -            0.00093   17.0   6.6    0.0013   16.5   6.6   1.2   1   0   0   1   1   1   1 -
AAM88721.1_unknown_[Virus_PhiCh1_complete_genome.]                  -          euVOG_6595           -                1.5    6.4   7.5       1.9    6.1   7.5   1.0   1   0   0   1   1   1   0 -
NP_665965.1_hypothetical_protein_PhiCh1p48_[Natrialba_phage_PhiCh1] -          euVOG_6595           -                1.5    6.4   7.5       1.9    6.1   7.5   1.0   1   0   0   1   1   1   0 -
YP_009230305.1_hypothetical_protein_ATSV_A198_[Acidianus_tailed_spindle_virus] -          euVOG_6607           -              0.013   14.6   2.4     0.033   13.3   0.3   2.1   1   1   0   2   2   2   0 -
YP_009230318.1_hypothetical_protein_ATSV_D117_[Acidianus_tailed_spindle_virus] -          euVOG_1265           -              0.035   11.3   0.7     0.039   11.1   0.7   1.0   1   0   0   1   1   1   0 -
CCG27830.1_hypothetical_protein_[Aeropyrum_coil-shaped_virus_complete_genome]  -          euVOG_1265           -              0.093    9.9   0.2     0.098    9.8   0.2   1.0   1   0   0   1   1   1   0 -
CAH04207.1_hypothetical_protein_[Sulfolobus_tengchongensis_spindle-shaped_virus_STSV1_complete_genome] -          euVOG_1499           -              0.013   14.7   0.0     0.029   13.6   0.0   1.5   1   0   0   1   1   1   0 -
YP_077217.1_hypothetical_protein_STSV1pORF24_[Sulfolobus_virus_STSV1]                                  -          euVOG_1499           -              0.013   14.7   0.0     0.029   13.6   0.0   1.5   1   0   0   1   1   1   0 -
CAH04219.1_hypothetical_protein_[Sulfolobus_tengchongensis_spindle-shaped_virus_STSV1_complete_genome] -          euVOG_4248           -               0.41    9.2   3.3      0.67    8.5   3.3   1.4   1   0   0   1   1   1   0 -
