query.name	score.percentage
baPOG_1	0
baPOG_100	0.71
baPOG_10060	0.8
baPOG_1008	0
baPOG_102	0.51
baPOG_1028	0.6
baPOG_10474	0.38
baPOG_105	0.77
baPOG_1055	0
baPOG_10822	0
baPOG_10847	0.89
baPOG_1088	0.72
baPOG_1089	0.14
baPOG_11060	0
baPOG_1118	0.31
baPOG_11512	0.01
baPOG_11600	0.3
baPOG_11606	0.02
baPOG_11610	0.83
baPOG_11612	0.33
baPOG_1164	0
baPOG_11680	0.96
baPOG_11696	0.55
baPOG_11697	0.63
baPOG_11734	0.63
baPOG_1174	0.66
baPOG_11741	0.74
baPOG_11765	0.75
baPOG_11862	0.14
baPOG_11877	0.79
baPOG_11895	0.3
baPOG_1198	0.54
baPOG_12040	0.78
baPOG_12048	0.8
baPOG_1205	0.16
baPOG_1206	0.5
baPOG_12087	0.42
baPOG_12111	0.73
baPOG_1226	0.74
baPOG_1229	0.69
baPOG_1232	0.33
baPOG_1235	0.68
baPOG_1238	0.4
baPOG_12412	0.96
baPOG_1243	0.81
baPOG_12459	0.91
baPOG_1249	0
baPOG_12504	0.34
baPOG_12516	0.37
baPOG_1255	0.19
baPOG_12624	0.89
baPOG_12674	0.8
baPOG_12778	0.59
baPOG_12782	0.45
baPOG_12860	0.82
baPOG_12865	0.86
baPOG_12877	0.69
baPOG_1294	0.59
baPOG_12980	0.58
baPOG_12990	0.89
baPOG_12994	0
baPOG_13059	0.47
baPOG_13178	0.34
baPOG_1319	0.64
baPOG_1331	0.21
baPOG_1338	0.76
baPOG_13413	0.26
baPOG_1345	0.55
baPOG_1346	0.85
baPOG_1349	0.48
baPOG_13498	0
baPOG_1362	0
baPOG_13649	0.92
baPOG_13674	0.55
baPOG_13715	0.36
baPOG_139	0.78
baPOG_140	0.1
baPOG_1413	0.68
baPOG_14285	0.6
baPOG_1448	0.33
baPOG_14504	0
baPOG_1451	0.69
baPOG_146	0.37
baPOG_1479	0.44
baPOG_1489	0.72
baPOG_14966	0.41
baPOG_15048	0.5
baPOG_15060	0.68
baPOG_151	0.47
baPOG_1518	0.85
baPOG_1523	0.58
baPOG_15255	0
baPOG_15284	0.23
baPOG_1530	0.8
baPOG_15398	0.86
baPOG_15417	0.84
baPOG_15424	0.74
baPOG_15428	0.22
baPOG_1546	0.41
baPOG_15503	0.89
baPOG_1555	0.83
baPOG_15618	0.76
baPOG_1582	0
baPOG_15852	0
baPOG_1614	0.53
baPOG_1616	0.84
baPOG_16243	0.82
baPOG_1628	0.45
baPOG_163	0.96
baPOG_16315	0.85
baPOG_1657	0.76
baPOG_1658	0.37
baPOG_1660	0.28
baPOG_1662	0.04
baPOG_1665	0.44
baPOG_1673	0
baPOG_1674	0.86
baPOG_1679	0.19
baPOG_1683	0.93
baPOG_1684	0.96
baPOG_1685	0.94
baPOG_1691	0.22
baPOG_17	0.7
baPOG_1710	0.85
baPOG_1714	0.65
baPOG_1715	0.43
baPOG_172	0
baPOG_1743	0.28
baPOG_1749	0.56
baPOG_1771	0.06
baPOG_1772	0.13
baPOG_1777	0.71
baPOG_1792	0.71
