query.name	score.percentage
arVOG_1	0.95
arVOG_10	0.95
arVOG_100	0.91
arVOG_101	0.94
arVOG_102	0.88
arVOG_103	0.89
arVOG_104	0.86
arVOG_105	0.96
arVOG_106	1
arVOG_107	0.94
arVOG_108	0.93
arVOG_109	0.94
arVOG_11	0.94
arVOG_110	0.98
arVOG_111	0.54
arVOG_112	0.95
arVOG_113	0.98
arVOG_114	0.89
arVOG_115	0.9
arVOG_116	0.93
arVOG_117	0.84
arVOG_118	0.88
arVOG_119	0.94
arVOG_12	0.96
arVOG_120	0.94
arVOG_121	0.89
arVOG_122	0.86
arVOG_123	0.89
arVOG_124	0.88
arVOG_125	0.92
arVOG_126	0.93
arVOG_127	0.89
arVOG_128	0.91
arVOG_129	0.94
arVOG_13	0.84
arVOG_130	0.84
arVOG_131	0.88
arVOG_132	0.83
arVOG_133	0.93
arVOG_134	0.95
arVOG_135	0.96
arVOG_136	0.87
arVOG_137	0.95
arVOG_138	0.8
arVOG_139	0.99
arVOG_14	0.91
arVOG_140	0.86
arVOG_141	0.6
arVOG_142	0
arVOG_143	0.91
arVOG_144	0.97
arVOG_145	0.86
arVOG_146	0.98
arVOG_147	0.88
arVOG_148	0.97
arVOG_149	0.91
arVOG_15	0.92
arVOG_150	0.86
arVOG_151	0.91
arVOG_152	0.94
arVOG_153	0.96
arVOG_154	1
arVOG_155	0.9
arVOG_156	0.91
arVOG_157	0.95
arVOG_158	0.93
arVOG_159	0.94
arVOG_16	0.87
arVOG_160	0.88
arVOG_161	0.88
arVOG_162	0.9
arVOG_163	0.91
arVOG_164	0.92
arVOG_165	1
arVOG_166	0.9
arVOG_167	0.97
arVOG_168	0.91
arVOG_169	0.94
arVOG_17	0.87
arVOG_170	0.9
arVOG_171	0.82
arVOG_172	0.85
arVOG_173	0.09
arVOG_174	0.9
arVOG_175	0.95
arVOG_176	0.93
arVOG_177	0.98
arVOG_178	0.91
arVOG_179	0.97
arVOG_18	0.86
arVOG_180	0.91
arVOG_181	0.93
arVOG_182	0.99
arVOG_183	0.97
arVOG_184	0.91
arVOG_185	1
arVOG_186	0.77
arVOG_187	0.95
arVOG_188	0.93
arVOG_189	0.88
arVOG_19	0.99
arVOG_190	0.87
arVOG_191	0.95
arVOG_192	0.96
arVOG_193	0.95
arVOG_194	0.91
arVOG_195	0.96
arVOG_196	0.89
arVOG_197	0.86
arVOG_198	0.85
arVOG_199	0.69
arVOG_2	0.92
arVOG_20	0.84
arVOG_200	0.86
arVOG_201	0.96
arVOG_202	0.88
arVOG_203	0.9
arVOG_204	0.93
arVOG_205	0.88
arVOG_206	0.92
arVOG_207	0.95
arVOG_208	0.85
arVOG_209	0.91
arVOG_21	0.95
