genome	archaeal_score	phage_score	eukaryotic_score	call	difference.percentage	protein.counts
Acidianus_bottle-shaped_virus_2]	8687.124	57.267	0	archaeal	99.34	54
Acidianus_bottle-shaped_virus_3]	6346.242	56.862	0	archaeal	99.1	66
Acidianus_bottle-shaped_virus_complete_genome.]	10787.936	113.076	0	archaeal	98.95	57
Acidianus_bottle-shaped_virus]	10787.936	113.076	0	archaeal	98.95	57
Acidianus_filamentous_virus_1]	5905.54	41.48	0	archaeal	99.3	40
Acidianus_filamentous_virus_2_partial_genome]	8555.208	0	0	archaeal	100	52
Acidianus_filamentous_virus_2]	8555.208	0	0	archaeal	100	52
Acidianus_filamentous_virus_3_partial_viral_genome]	17334.043	273.922	334.61	archaeal	98.07	68
Acidianus_filamentous_virus_3]	17334.043	273.922	334.61	archaeal	98.07	68
Acidianus_filamentous_virus_6_partial_viral_genome]	16343.024	274.794	328.503	archaeal	97.99	66
Acidianus_filamentous_virus_6]	16343.024	274.794	328.503	archaeal	97.99	66
Acidianus_filamentous_virus_7_partial_viral_genome]	14381.727	313.671	324.391	archaeal	97.74	57
Acidianus_filamentous_virus_7]	14381.727	313.671	324.391	archaeal	97.74	57
Acidianus_filamentous_virus_8_partial_viral_genome]	15912.221	279.086	367.158	archaeal	97.69	61
Acidianus_filamentous_virus_8]	15912.221	279.086	367.158	archaeal	97.69	61
Acidianus_filamentous_virus_9_complete_genome.]	15433.016	266.427	376.647	archaeal	97.56	73
Acidianus_filamentous_virus_9]	15433.016	266.427	376.647	archaeal	97.56	73
Acidianus_filamentus_virus_1_complete_genome]	5905.54	41.48	0	archaeal	99.3	40
Acidianus_rod-shaped_virus_1_complete_viral_genome]	9135.511	214.994	57.857	archaeal	97.65	41
Acidianus_rod-shaped_virus_1]	9135.511	214.994	57.857	archaeal	97.65	41
Acidianus_rod-shaped_virus_2]	9666.71	27.473	32.706	archaeal	99.66	43
Acidianus_spindle-shaped_virus_1_complete_genome.]	6911.744	34.34	0	archaeal	99.5	38
Acidianus_spindle-shaped_virus_1]	6911.744	34.34	0	archaeal	99.5	38
Acidianus_tailed_spindle_virus]	17650.364	843.02	510.218	archaeal	95.22	95
Acidianus_two-tailed_virus_complete_viral_genome]	20187.165	438.483	290.347	archaeal	97.83	72
Acidianus_two-tailed_virus]	20187.165	438.483	290.347	archaeal	97.83	72
Aeropyrum_coil-shaped_virus_complete_genome]	4462.204	104.56	91.759	archaeal	97.66	57
Aeropyrum_globular_virus_1]	2865.829	0	0	archaeal	100	33
Aeropyrum_pernix_ovoid_virus_1]	2711.64	0	0	archaeal	100	21
Aeropyrum_pernix_spindle-shaped_virus_1]	6420.953	42.686	56.73	archaeal	99.12	53
Archaeal_BJ1_virus_complete_genome]	11026.914	129.978	0	archaeal	98.82	70
Archaeal_BJ1_virus]	11026.914	129.978	0	archaeal	98.82	70
Fusellovirus_SSV2_complete_genome.]	6622.921	0	0	archaeal	100	34
Haloarcula_hispanica_icosahedral_virus_2_complete_genome.]	9218.866	53.937	0	archaeal	99.41	43
Haloarcula_hispanica_icosahedral_virus_2]	9218.866	53.937	0	archaeal	99.41	43
Haloarcula_hispanica_pleomorphic_virus_1]	2071.2	0	0	archaeal	100	9
Haloarcula_hispanica_pleomorphic_virus_2]	1696.254	0	0	archaeal	100	8
Haloarcula_hispanica_virus_PH1]	10022.943	58.75	0	archaeal	99.41	49
Haloarcula_hispanica_virus_SH1]	10764.049	56.243	0	archaeal	99.48	56
Haloarcula_phage_SH1_complete_genome.]	10764.049	56.243	0	archaeal	99.48	56
Halogeometricum_pleomorphic_virus_1_complete_genome.]	1909.669	67.2	19.8	archaeal	96.48	15
Halogeometricum_pleomorphic_virus_1]	1939.93	67.2	19.8	archaeal	96.54	16
Halorubrum_phage_HF2_complete_genome.]	28235.822	1722.676	452.345	archaeal	93.9	114
Halorubrum_phage_HF2]	28235.822	1722.676	452.345	archaeal	93.9	114
Halorubrum_pleomorphic_virus_1]	1315.705	0	0	archaeal	100	10
Halorubrum_pleomorphic_virus_2_complete_genome.]	4441.502	0	0	archaeal	100	15
Halorubrum_pleomorphic_virus_2]	5225.131	0	0	archaeal	100	16
Halorubrum_pleomorphic_virus_3_complete_genome.]	3170.286	0	0	archaeal	100	12
Halorubrum_pleomorphic_virus_3]	3936.051	0	0	archaeal	100	13
Halorubrum_pleomorphic_virus_6_complete_genome.]	4199.775	0	0	archaeal	100	10
Halorubrum_pleomorphic_virus_6]	4963.384	0	0	archaeal	100	11
Halovirus_HCTV-1]	33031.634	1745.162	704.688	archaeal	94.72	160
Halovirus_HCTV-2]	15503.094	522.453	131.248	archaeal	96.63	86
Halovirus_HCTV-5]	38749.686	2250.954	821.85	archaeal	94.19	166
Halovirus_HF1_complete_genome.]	28038.707	1638.61	452.345	archaeal	94.16	102
Halovirus_HF1]	28038.707	1638.61	452.345	archaeal	94.16	102
Halovirus_HGTV-1]	24014.105	2675.083	911.475	archaeal	88.86	281
Halovirus_HHTV-1]	10065.033	224.622	54.824	archaeal	97.77	74
Halovirus_HHTV-2]	14724.573	609.848	86.486	archaeal	95.86	88
Halovirus_HRTV-4]	5427.274	168.403	0	archaeal	96.9	73
Halovirus_HRTV-5]	28732.313	1644.663	500.716	archaeal	94.28	118
Halovirus_HRTV-7]	22237.333	709.851	381.76	archaeal	96.81	105
Halovirus_HRTV-8]	27813.081	1698.739	411.906	archaeal	93.89	124
Halovirus_HSTV-1_complete_genome.]	8139.724	349.619	167.804	archaeal	95.7	53
Halovirus_HSTV-1]	8139.724	349.619	167.804	archaeal	95.7	53
Halovirus_HSTV-2_complete_genome.]	23211.424	716.689	387.217	archaeal	96.91	103
Halovirus_HSTV-2]	23211.424	716.689	387.217	archaeal	96.91	103
Halovirus_HVTV-1_complete_genome.]	40409.262	2020.972	797.473	archaeal	95	173
Halovirus_HVTV-1]	40409.262	2020.972	797.473	archaeal	95	173
Halovirus_PH1_complete_genome.]	10022.943	58.75	0	archaeal	99.41	49
Halovirus_VNH-1]	557.548	35.28	0	archaeal	93.67	7
His_1_virus]	3668.799	56.133	0	archaeal	98.47	35
His1_virus_complete_genome.]	3668.799	56.133	0	archaeal	98.47	35
His2_virus_complete_genome.]	3404.138	109.851	0	archaeal	96.77	35
His2_virus]	3404.138	109.851	0	archaeal	96.77	35
Hyperthermophilic_Archaeal_Virus_1_complete_genome.]	4316.011	24.548	0	archaeal	99.43	40
Hyperthermophilic_Archaeal_Virus_1]	4316.011	24.548	0	archaeal	99.43	40
Hyperthermophilic_Archaeal_Virus_2_complete_genome.]	3943.409	139.083	71.095	archaeal	96.47	15
Hyperthermophilic_Archaeal_Virus_2]	3943.409	139.083	71.095	archaeal	96.47	15
Marine_gokushovirus_isolate_SI1_complete_genome.]	377.867	49.27	111.95	archaeal	70.37	10
Metallosphaera_turreted_icosahedral_virus]	965.074	0	0	archaeal	100	21
Methanobacterium_phage_psiM2]	7426.019	416.504	0	archaeal	94.39	32
Methanothermobacter_phage_psiM100]	7578.039	523.657	0	archaeal	93.09	35
Methanothermobacter_wolfeii_prophage_psiM100_complete_genome;_flanked_by_Methanothermobacter_wolfeii_MTW1216_(mtw1216)_and_MTW1215_(mtw1215)_genes_complete_cds.]	8770.506	523.657	42.136	archaeal	94.03	37
Methanothermobacter_wolfeii]	1192.467	0	42.136	archaeal	96.47	2
Microvirus_CA82_complete_genome.]	330.16	135.755	49.475	archaeal	58.88	10
Natrialba_phage_PhiCh1]	14731.741	1294.348	517.963	archaeal	91.21	98
Podovirus_Lau218_strain_TahiMoana_complete_genome.]	3164.934	5666.71	358.063	phage	44.15	51
Pyrobaculum_filamentous_virus_1]	2433.569	0	0	archaeal	100	39
Pyrobaculum_spherical_virus_complete_genome]	6931.442	0	0	archaeal	100	48
Pyrobaculum_spherical_virus]	6931.442	0	0	archaeal	100	48
Pyrococcus_abyssi_virus_1_complete_genome.]	3374.205	62.336	0	archaeal	98.15	25
Stygiolobus_rod-shaped_virus]	9908.549	233.16	56.301	archaeal	97.65	37
Sulfolobales_Mexican_fusellovirus_1_complete_genome.]	5455.165	0	0	archaeal	100	24
Sulfolobales_Mexican_fusellovirus_1]	5455.165	0	0	archaeal	100	24
Sulfolobales_Mexican_rudivirus_1_complete_genome.]	9135.341	53.155	0	archaeal	99.42	37
Sulfolobales_Mexican_rudivirus_1]	9135.341	53.155	0	archaeal	99.42	37
Sulfolobales_virus_YNP1]	8137.093	197.526	222.878	archaeal	97.26	71
Sulfolobales_Virus_YNP2]	7903.972	179.8	214.725	archaeal	97.28	60
Sulfolobus_islandicus_filamentous_virus_partial_genome.]	14623.889	242.909	289.899	archaeal	98.02	73
Sulfolobus_islandicus_filamentous_virus]	14623.889	242.909	289.899	archaeal	98.02	73
Sulfolobus_islandicus_rod-shaped_virus_1]	13392.954	70.605	0	archaeal	99.47	45
Sulfolobus_islandicus_rod-shaped_virus_10]	13157.969	49.777	0	archaeal	99.62	49
Sulfolobus_islandicus_rod-shaped_virus_11]	13515.928	21.887	0	archaeal	99.84	50
Sulfolobus_islandicus_rod-shaped_virus_2]	14195.661	71.732	0	archaeal	99.49	54
Sulfolobus_islandicus_rod-shaped_virus_4]	13980.693	23.827	0	archaeal	99.83	54
Sulfolobus_islandicus_rod-shaped_virus_5]	14212.279	104.819	0	archaeal	99.26	57
Sulfolobus_islandicus_rod-shaped_virus_6]	14101.781	104.819	0	archaeal	99.26	56
Sulfolobus_islandicus_rod-shaped_virus_7]	13634.479	104.819	0	archaeal	99.23	52
Sulfolobus_islandicus_rod-shaped_virus_8]	14212.793	23.168	0	archaeal	99.84	61
Sulfolobus_islandicus_rod-shaped_virus_9]	14062.346	23.807	0	archaeal	99.83	58
Sulfolobus_islandicus_rudivirus_1_variant_XX_complete_genome]	13543.882	51.138	0	archaeal	99.62	46
Sulfolobus_islandicus_rudivirus_3]	12488.601	70.839	0	archaeal	99.43	45
Sulfolobus_monocaudavirus_SMV1_complete_genome]	16501.38	176.587	90.965	archaeal	98.93	51
Sulfolobus_monocaudavirus_SMV1]	16501.38	176.587	90.965	archaeal	98.93	51
Sulfolobus_monocaudavirus_SMV2]	15216.478	172.933	0	archaeal	98.86	65
Sulfolobus_monocaudavirus_SMV3]	20284.47	447.891	271.812	archaeal	97.79	87
Sulfolobus_monocaudavirus_SMV4]	17528.595	33.392	27.939	archaeal	99.81	68
Sulfolobus_spindle-shaped_virus_1]	5198.353	0	0	archaeal	100	31
