query.name	score.percentage
euVOG_1037	0.45
euVOG_110	0.87
euVOG_116	0.87
euVOG_1163	0.82
euVOG_1170	0.54
euVOG_1227	0.78
euVOG_1243	0.63
euVOG_1270	0.95
euVOG_1272	0.59
euVOG_1343	0.81
euVOG_14	0.4
euVOG_1403	0.73
euVOG_1511	0.76
euVOG_153	0.89
euVOG_1604	0.72
euVOG_1679	0.22
euVOG_1693	0.5
euVOG_1749	0.8
euVOG_1774	0.91
euVOG_1780	0.85
euVOG_19	0.68
euVOG_1968	0.55
euVOG_203	0.5
euVOG_2222	0.49
euVOG_237	0.29
euVOG_2456	0.55
euVOG_2561	0.69
euVOG_26	0.58
euVOG_261	0.83
euVOG_2681	0
euVOG_2693	0.61
euVOG_27	0.22
euVOG_2768	0.63
euVOG_2798	0.82
euVOG_283	0.71
euVOG_2921	0.39
euVOG_301	0.86
euVOG_3017	0.63
euVOG_3047	0.56
euVOG_3114	0.69
euVOG_312	0.81
euVOG_3120	0.79
euVOG_3148	0.87
euVOG_3197	0.25
euVOG_3264	0.89
euVOG_3328	0.86
euVOG_3433	0.68
euVOG_3435	0.44
euVOG_3550	0.63
euVOG_3655	0.45
euVOG_386	0.19
euVOG_4	0.49
euVOG_411	0.76
euVOG_4137	0.58
euVOG_4226	0.76
euVOG_4262	0.49
euVOG_428	0.76
euVOG_4326	0.47
euVOG_4327	0.67
euVOG_4352	0.28
euVOG_440	0.93
euVOG_4490	0.82
euVOG_4496	0.59
euVOG_4520	0.89
euVOG_4571	0.97
euVOG_4671	0.65
euVOG_4835	0.92
euVOG_4850	0.65
euVOG_506	0.64
euVOG_518	0.52
euVOG_5281	0.76
euVOG_5458	0.36
euVOG_557	0
euVOG_5772	0.93
euVOG_593	0.77
euVOG_633	0.66
euVOG_6417	0.82
euVOG_6421	0.94
euVOG_652	0.81
euVOG_6548	0.87
euVOG_6630	0
euVOG_67	0.29
euVOG_6700	0.31
euVOG_7088	0.74
euVOG_712	0.15
euVOG_749	0
euVOG_750	0.92
euVOG_766	0.73
euVOG_774	0.08
euVOG_775	0.67
euVOG_786	0.35
euVOG_808	0.07
euVOG_821	0.63
euVOG_872	0.79
euVOG_88	0.82
euVOG_883	0.49
euVOG_928	0.71
euVOG_942	0.55
euVOG_977	0.66
euVOG_1015	0
euVOG_1031	0.75
euVOG_1039	0
euVOG_1040	0.31
euVOG_1044	0.71
euVOG_1046	0.9
euVOG_1047	0.69
euVOG_1053	0.77
euVOG_1058	0.12
euVOG_1072	0.66
euVOG_1073	0.71
euVOG_1081	0.69
euVOG_1084	0.8
euVOG_1085	0.63
euVOG_1089	0.76
euVOG_1092	0.14
euVOG_1094	0.96
euVOG_1107	0.87
euVOG_1108	0.9
euVOG_1111	0.92
euVOG_1112	0.78
euVOG_1113	0.75
euVOG_1125	0.83
euVOG_1141	0.94
euVOG_1150	0.53
euVOG_1160	0
euVOG_1181	0.86
euVOG_1184	0.71
euVOG_1194	0.92
euVOG_1195	0.96
euVOG_12	0.91
euVOG_1200	0.61
euVOG_1201	0.82
euVOG_1221	0.81
euVOG_123	0.49
euVOG_1230	0.87
euVOG_1234	0.77
euVOG_125	0.93
euVOG_1257	0.47
euVOG_1259	0.59
euVOG_1260	0.73
euVOG_1262	0.93
euVOG_1263	0.67
euVOG_1274	0.8
euVOG_1293	0.43
euVOG_1312	0.82
euVOG_1316	0.44
euVOG_1323	0.84
euVOG_1340	0.67
euVOG_1347	0.49
euVOG_1348	0.26
euVOG_1351	0.82
euVOG_1360	0.82
euVOG_1371	0.45
euVOG_1378	0.96
euVOG_1397	0.24
euVOG_140	0.54
euVOG_1409	0.78
euVOG_141	0.35
euVOG_1428	0.65
euVOG_1433	0.6
euVOG_1435	0.41
euVOG_1436	0.9
euVOG_1437	0.69
euVOG_1441	0.53
euVOG_1442	0.67
euVOG_1443	0.89
euVOG_1447	0.29
euVOG_1450	0.92
euVOG_1457	0.57
euVOG_1463	0
